gp           0 :           0| 00000000
gp           1 :          30| 0000001e
gp           2 :           8| 00000008
gp           3 :          42| 0000002a
gp           4 :          35| 00000023
gp           5 :          50| 00000032
gp           6 :           0| 00000000
gp           7 :          10| 0000000a
gp           8 :          20| 00000014
gp           9 :          40| 00000028
gp          10 :          10| 0000000a
gp          11 :           0| 00000000
gp          12 :           0| 00000000
gp          13 :           0| 00000000
gp          14 :           0| 00000000
gp          15 :           0| 00000000
gp          16 :           0| 00000000
gp          17 :           0| 00000000
gp          18 :           0| 00000000
gp          19 :           0| 00000000
gp          20 :           0| 00000000
gp          21 :           0| 00000000
gp          22 :           0| 00000000
gp          23 :           0| 00000000
gp          24 :           0| 00000000
gp          25 :           0| 00000000
gp          26 :           0| 00000000
gp          27 :           0| 00000000
gp          28 :           0| 00000000
gp          29 :           0| 00000000
gp          30 :           0| 00000000
gp          31 :           0| 00000000
