 
****************************************
Report : area
Design : conv_top
Version: R-2020.09-SP5
Date   : Thu Dec 23 18:51:24 2021
****************************************

Library(s) Used:

    saed32hvt_ss0p95v125c (File: /usr/cadtool/SAED32_EDK/lib/stdcell_hvt/db_nldm/saed32hvt_ss0p95v125c.db)

Number of ports:                        14325
Number of nets:                         59310
Number of cells:                        35383
Number of combinational cells:          32772
Number of sequential cells:              2550
Number of macros/black boxes:               0
Number of buf/inv:                       5561
Number of references:                       6

Combinational area:              91366.799887
Buf/Inv area:                     7067.744668
Noncombinational area:           16849.747753
Macro/Black Box area:                0.000000
Net Interconnect area:           24473.902815

Total cell area:                108216.547640
Total area:                     132690.450455

Hierarchical area distribution
------------------------------

                                  Global cell area             Local cell area
                                  --------------------  ------------------------------ 
Hierarchical cell                 Absolute     Percent  Combi-      Noncombi-   Black-
                                  Total        Total    national    national    boxes   Design
--------------------------------  -----------  -------  ----------  ----------  ------  ----------------------------------------------------
conv_top                          108216.5476    100.0      9.1492  16030.3875  0.0000  conv_top
conv3x3_U0                         72982.7855     67.4      8.8950    607.9125  0.0000  conv3x3_16to4ch_BW_BIAS23
conv3x3_U0/conv1x1_u0               7591.7895      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_8
conv3x3_U0/conv1x1_u0/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_35
conv3x3_U0/conv1x1_u0/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_34
conv3x3_U0/conv1x1_u0/mm_U2         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_33
conv3x3_U0/conv1x1_u0/mm_U3         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_32
conv3x3_U0/conv1x1_u1               7591.7895      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_7
conv3x3_U0/conv1x1_u1/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_31
conv3x3_U0/conv1x1_u1/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_30
conv3x3_U0/conv1x1_u1/mm_U2         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_29
conv3x3_U0/conv1x1_u1/mm_U3         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_28
conv3x3_U0/conv1x1_u2               7591.7895      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_6
conv3x3_U0/conv1x1_u2/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_27
conv3x3_U0/conv1x1_u2/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_26
conv3x3_U0/conv1x1_u2/mm_U2         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_25
conv3x3_U0/conv1x1_u2/mm_U3         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_24
conv3x3_U0/conv1x1_u3               7591.7895      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_5
conv3x3_U0/conv1x1_u3/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_23
conv3x3_U0/conv1x1_u3/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_22
conv3x3_U0/conv1x1_u3/mm_U2         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_21
conv3x3_U0/conv1x1_u3/mm_U3         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_20
conv3x3_U0/conv1x1_u4               7591.7895      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_4
conv3x3_U0/conv1x1_u4/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_19
